ContrastName	TestAnnotation
GSM28219.ch1-vs-GSM28219.ch2	MEDIUM.7H9:1
GSM28219.ch1-vs-GSM28219.ch2	DMSO:13uL
GSM28219.ch1-vs-GSM28219.ch2	STRAIN.H37Rv:1
GSM28219.ch1-vs-GSM28219.ch2	TEMPERATURE:37°C
GSM28219.ch1-vs-GSM28219.ch2	OD650:0.3
GSM28219.ch1-vs-GSM28219.ch2	ASCIDIDEMIN:1ug/ml
GSM28217.ch1-vs-GSM28217.ch2	MEDIUM.7H9:1
GSM28217.ch1-vs-GSM28217.ch2	DMSO:13uL
GSM28217.ch1-vs-GSM28217.ch2	STRAIN.H37Rv:1
GSM28217.ch1-vs-GSM28217.ch2	TEMPERATURE:37°C
GSM28217.ch1-vs-GSM28217.ch2	OD650:0.3
GSM28217.ch1-vs-GSM28217.ch2	PYRIDOACRIDINE#121940:1ug/ml
GSM28218.ch1-vs-GSM28218.ch2	MEDIUM.7H9:1
GSM28218.ch1-vs-GSM28218.ch2	DMSO:13uL
GSM28218.ch1-vs-GSM28218.ch2	STRAIN.H37Rv:1
GSM28218.ch1-vs-GSM28218.ch2	TEMPERATURE:37°C
GSM28218.ch1-vs-GSM28218.ch2	OD650:0.3
GSM28218.ch1-vs-GSM28218.ch2	PYRIDOACRIDINE#111891:1ug/ml
GSM28220.ch1-vs-GSM28220.ch2	MEDIUM.7H9:1
GSM28220.ch1-vs-GSM28220.ch2	DMSO:50uL
GSM28220.ch1-vs-GSM28220.ch2	STRAIN.H37Rv:1
GSM28220.ch1-vs-GSM28220.ch2	TEMPERATURE:37°C
GSM28220.ch1-vs-GSM28220.ch2	OD650:0.3
GSM28220.ch1-vs-GSM28220.ch2	CLOFAZIMINE:10ug/ml
GSM28224.ch1-vs-GSM28224.ch2	MEDIUM.7H9:1
GSM28224.ch1-vs-GSM28224.ch2	DMSO:50uL
GSM28224.ch1-vs-GSM28224.ch2	STRAIN.H37Rv:1
GSM28224.ch1-vs-GSM28224.ch2	TEMPERATURE:37°C
GSM28224.ch1-vs-GSM28224.ch2	OD650:0.3
GSM28224.ch1-vs-GSM28224.ch2	THIORIDAZINE:50ug/ml
GSM28226.ch1-vs-GSM28226.ch2	MEDIUM.7H9:1
GSM28226.ch1-vs-GSM28226.ch2	DMSO:50uL
GSM28226.ch1-vs-GSM28226.ch2	STRAIN.H37Rv:1
GSM28226.ch1-vs-GSM28226.ch2	MEDIUM.SAUTON:1
GSM28226.ch1-vs-GSM28226.ch2	TEMPERATURE:37°C
GSM28226.ch1-vs-GSM28226.ch2	PROCEPT6776:20ug/ml
GSM28223.ch1-vs-GSM28223.ch2	MEDIUM.7H9:1
GSM28223.ch1-vs-GSM28223.ch2	DMSO:50uL
GSM28223.ch1-vs-GSM28223.ch2	STRAIN.H37Rv:1
GSM28223.ch1-vs-GSM28223.ch2	TEMPERATURE:37°C
GSM28223.ch1-vs-GSM28223.ch2	OD650:0.3
GSM28223.ch1-vs-GSM28223.ch2	DINITROPHENOL:2.5mM
GSM28222.ch1-vs-GSM28222.ch2	MEDIUM.7H9:1
GSM28222.ch1-vs-GSM28222.ch2	DMSO:50uL
GSM28222.ch1-vs-GSM28222.ch2	STRAIN.H37Rv:1
GSM28222.ch1-vs-GSM28222.ch2	TEMPERATURE:37°C
GSM28222.ch1-vs-GSM28222.ch2	OD650:0.3
GSM28222.ch1-vs-GSM28222.ch2	CHLORPROMAZINE:20ug/ml
GSM28221.ch1-vs-GSM28221.ch2	MEDIUM.7H9:1
GSM28221.ch1-vs-GSM28221.ch2	DMSO:50uL
GSM28221.ch1-vs-GSM28221.ch2	STRAIN.H37Rv:1
GSM28221.ch1-vs-GSM28221.ch2	TEMPERATURE:37°C
GSM28221.ch1-vs-GSM28221.ch2	OD650:0.3
GSM28221.ch1-vs-GSM28221.ch2	CLOTRIMAZOLE:24ug/ml
GSM28225.ch1-vs-GSM28225.ch2	MEDIUM.7H9:1
GSM28225.ch1-vs-GSM28225.ch2	DMSO:100uL
GSM28225.ch1-vs-GSM28225.ch2	ETHANOL:0.02vol%
GSM28225.ch1-vs-GSM28225.ch2	STRAIN.H37Rv:1
