contrast_name,annotation,Test description,Reference description,Experiment_id,Data source,Platform
GSM28219.ch1-vs-GSM28219.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ASCIDIDEMIN:1ug/ml,test_GSE1642_ASCI,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28217.ch1-vs-GSM28217.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PYRIDOACRIDINE#121940:1ug/ml,test_GSE1642_121940-1,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28218.ch1-vs-GSM28218.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PYRIDOACRIDINE#111891:1ug/ml,test_GSE1642_111891-1,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28220.ch1-vs-GSM28220.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CLOFAZIMINE:10ug/ml,test_GSE1642_CLOFA10,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28224.ch1-vs-GSM28224.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_THIORIDAZINE:50ug/ml,test_GSE1642_THIORI50,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28226.ch1-vs-GSM28226.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_MEDIUM.SAUTON:1_TEMPERATURE:37°C_PROCEPT6776:20ug/ml,test_GSE1642_PROC6776-20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28223.ch1-vs-GSM28223.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_DINITROPHENOL:2.5mM,test_GSE1642_DINITRO2.5,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28222.ch1-vs-GSM28222.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CHLORPROMAZINE:20ug/ml,test_GSE1642_CHLOR20,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28221.ch1-vs-GSM28221.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CLOTRIMAZOLE:24ug/ml,test_GSE1642_CLOTRI24,ref_GSE1642,GSE1642,GEO,GPL1343
GSM28225.ch1-vs-GSM28225.ch2,MEDIUM.7H9:1_DMSO:100uL_ETHANOL:0.02vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_TRICLOSAN:50ug/ml,test_GSE1642_TRIC50,ref_GSE1642,GSE1642,GEO,GPL1343
