Rv_ID,Gene name,Geneid/Contrast_id,is_sdr,func_tuberculist,function_sanger,redox_enzyme,function_redox_,Function,groups,COG,cog_annot,UK_score_4,u1,u2,u3,u1_tn,u2_tn
Rv0001,dnaA,1.0,0.0,information pathways,chromosomal replication initiator protein,0.0,,Chromosomal replication initiator protein DnaA,0.0,L,"Replication, recombination and repair ",0.0,0.9318957,0.631473,0.29934540000000004,-4.858897,1.4139374
Rv0002,dnaN,2.0,0.0,information pathways,"DNA polymerase III, [beta] subunit",0.0,,DNA polymerase III beta subunit (EC 2.7.7.7),0.0,L,"Replication, recombination and repair ",0.0,1.6959931000000001,0.69790095,1.37974,-6.8331294000000025,1.925143
Rv0003,recF,3.0,0.0,information pathways,DNA replication and SOS induction,0.0,,DNA recombination and repair protein RecF,0.0,L,"Replication, recombination and repair ",0.0,2.1450675,0.29838359999999997,1.7599788,10.352838,-0.58746094
Rv0004,Rv0004,4.0,0.0,conserved hypotheticals,conserved hypothetical protein,0.0,,"Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives",0.0,R,General function prediction only ,0.0,2.2938282,0.30757463,0.83379376,-6.5102709999999995,0.9087619
Rv0005,gyrB,5.0,0.0,information pathways,DNA gyrase subunit B,0.0,,DNA gyrase subunit B (EC 5.99.1.3),0.0,L,"Replication, recombination and repair ",0.0,0.94141287,0.68431574,0.30233790000000005,-7.03945,1.8381854
Rv0006,gyrA,6.0,0.0,information pathways,DNA gyrase subunit A,0.0,,DNA gyrase subunit A (EC 5.99.1.3),0.0,L,"Replication, recombination and repair ",0.0,1.5066483999999998,0.53137875,0.0155585185,-4.868734,1.4176133
Rv0007,Rv0007,7.0,0.0,cell wall and cell processes,conserved hypothetical protein,0.0,,,0.0,S,Function unknown ,0.0,2.1891737,-0.35010424,0.82000107,9.037864,-1.6115367
Rv0008c,Rv0008c,8.0,0.0,cell wall and cell processes,hypothetical protein,0.0,,,0.0,S,Function unknown ,0.0,0.60794365,-1.2234987,0.12293359,-6.961236,1.3831806
Rv0009,ppiA,9.0,0.0,information pathways,peptidyl-prolyl cis-trans isomerase,0.0,,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),0.0,O,"Posttranslational modification, protein turnover, chaperones ",0.0,1.7024343999999998,1.2860208,1.2253133,8.922664,-1.4709985
Rv0010c,Rv0010c,10.0,0.0,cell wall and cell processes,hypothetical protein,0.0,,Possible membrane protein,0.0,S,Function unknown ,0.0,1.0072203000000002,-0.28942844,0.039628606000000004,-6.6523113,0.52155715
Rv0011c,Rv0011c,11.0,0.0,cell wall and cell processes,hypothetical protein,0.0,,FIG018426: putative septation inhibitor protein,0.0,S,Function unknown ,0.0,3.008141,-0.22019415,1.3361813,-6.926810700000001,1.8743595000000002
Rv0012,Rv0012,12.0,0.0,cell wall and cell processes,possible cell division protein,0.0,,FIG215594: Membrane spanning protein,0.0,S,Function unknown ,0.0,2.287029,0.10776007,2.0869446,8.014369,-2.0946224
Rv0013,trpG,13.0,0.0,intermediary metabolism and respiration,p-aminobenzoate synthase glutamine amidotransferase,0.0,,"Anthranilate synthase, amidotransferase component (EC 4.1.3.27) @ Para-aminobenzoate synthase, amidotransferase component (EC 6.3.5.8)",0.0,EH,,0.0,2.8778458,-0.16642922,2.4955144000000002,5.2544830000000005,-1.9445863999999997
Rv0014c,pknB,14.0,0.0,regulatory proteins,serine-threonine protein kinase,0.0,,Serine/threonine-protein kinase PknB (EC 2.7.11.1),0.0,RTKL,,0.0,1.2380091999999998,-0.37656045,0.10556221,-7.340832700000001,0.15842444
Rv0015c,pknA,15.0,0.0,regulatory proteins,serine-threonine protein kinase,0.0,,Serine/threonine-protein kinase PknA (EC 2.7.11.1),0.0,RTKL,,0.0,1.7255237,-0.09010148,0.028507736000000002,-6.7933745,1.8848976000000002
Rv0016c,pbpA,16.0,0.0,cell wall and cell processes,penicillin-binding protein,0.0,,Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129),0.0,M,Cell wall/membrane/envelope biogenesis ,0.0,1.3542436000000002,-0.38770205,0.02096112,9.086246000000001,-1.7823431
Rv0017c,rodA,17.0,0.0,cell wall and cell processes,FtsW/RodA/SpovE family,0.0,,Cell division protein FtsW,0.0,D,"Cell cycle control, cell division, chromosome partitioning ",0.0,1.3641464,-0.46147879999999997,-0.049167074000000005,9.150278,-1.7664746
Rv0018c,pstP,18.0,0.0,regulatory proteins,putative phosphoprotein phosphatase,0.0,,Serine/threonine phosphatase PPP (EC 3.1.3.16),0.0,T,Signal transduction mechanisms ,0.0,1.2499105,-0.30294323,-0.011349495,8.615005499999999,-1.8849233
Rv0019c,fhaB,19.0,0.0,regulatory proteins,conserved hypothetical protein,0.0,,,0.0,T,Signal transduction mechanisms ,0.0,2.4505885,-0.44004685,0.19160856,8.999231,-1.8000164
Rv0020c,fhaA,20.0,0.0,regulatory proteins,conserved hypothetical protein,0.0,,,0.0,T,Signal transduction mechanisms ,0.0,3.2071794999999996,-1.7206671000000002,0.28415219999999997,7.9913883000000006,-2.1228830000000003
Rv0021c,Rv0021c,21.0,0.0,conserved hypotheticals,conserved hypothetical protein,0.0,,Nitronate monooxygenase,0.0,R,General function prediction only ,0.0,2.16518,-0.41209435,-0.066942714,-6.786239,0.17433643
Rv0022c,whiB5,22.0,0.0,regulatory proteins,conserved hypothetical protein,0.0,,WhiB family transcriptional regulator,0.0,S,Function unknown ,0.0,-0.47018093,0.40517068,2.338436,-8.450984,0.5436052
Rv0023,Rv0023,23.0,0.0,regulatory proteins,putative transcriptional regulator,0.0,,Transcriptional regulatory protein,0.0,K,Transcription ,0.0,1.1478871000000002,-0.39485627,0.019910404,-8.876876,1.1144638999999998
Rv0024,Rv0024,24.0,0.0,"virulence, detoxification, adaptation",putative p60 homologue,0.0,,"NlpC/P60 family, cell wall-associated hydrolase, invasion-associated protein",0.0,M,Cell wall/membrane/envelope biogenesis ,0.0,2.1520257000000003,0.2702848,0.39994967,-5.726239,1.9918063999999998
Rv0025,Rv0025,25.0,0.0,conserved hypotheticals,conserved hypothetical protein,0.0,,,0.0,S,Function unknown ,0.0,0.8116654999999999,-0.6572299,0.2543989,-8.738827,1.0663698999999998
Rv0026,Rv0026,26.0,0.0,conserved hypotheticals,conserved hypothetical protein,0.0,,,0.0,S,Function unknown ,0.0,-0.46025609999999995,0.3961153,2.3229678,-8.61326,0.8870948000000001
Rv0027,Rv0027,27.0,0.0,conserved hypotheticals,conserved hypothetical protein,0.0,,,0.0,S,Function unknown ,0.0,-0.37445596,0.45900109999999994,2.2859068,-8.042663000000001,0.63088334
Rv0028,Rv0028,28.0,0.0,conserved hypotheticals,hypothetical protein,0.0,,,0.0,S,Function unknown ,0.0,3.4729035,-0.62323195,0.282492,-7.689659599999999,0.7268286
Rv0029,Rv0029,29.0,0.0,conserved hypotheticals,conserved hypothetical protein,0.0,,Vegetative cell wall protein gp1 precursor,0.0,S,Function unknown ,0.0,0.67060703,-1.4396845,0.09594007,14.699031,4.2322073
Rv0030,Rv0030,30.0,0.0,conserved hypotheticals,hypothetical protein,0.0,,,0.0,S,Function unknown ,0.0,-0.38365227,0.30190977,2.2068806,-7.1846422999999975,1.7097901000000002
Rv0031,Rv0031,31.0,0.0,insertion seqs and phages,conserved hypothetical protein,0.0,,PUTATIVE REMNANT OF A TRANSPOSASE,0.0,S,Function unknown ,0.0,-0.093046755,0.48582759999999997,2.1727362,-8.50007,0.76965624
Rv0032,bioF2,32.0,0.0,intermediary metabolism and respiration,C-terminal similar to B. subtilis BioF,0.0,,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),0.0,H,Coenzyme transport and metabolism ,0.0,2.8227665,-0.1579365,2.393408,-7.877738000000001,0.84720516
Rv0033,acpA,33.0,0.0,lipid metabolism,possible acyl carrier protein,0.0,,Acyl carrier protein,0.0,IQ,,0.0,1.8121196,0.48116314,1.1658665000000001,-8.446133,0.48210222
Rv0034,Rv0034,34.0,0.0,conserved hypotheticals,hypothetical protein,0.0,,,0.0,R,General function prediction only ,0.0,1.8636529999999998,0.5488076999999999,1.4683663,-8.220539,1.2566031000000002
Rv0035,fadD34,35.0,0.0,lipid metabolism,acyl-CoA synthase,0.0,,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),0.0,IQ,,0.0,1.8181047,0.4344298,1.1332002,-8.104296000000001,1.031336
Rv0036c,Rv0036c,36.0,0.0,conserved hypotheticals,conserved hypothetical protein,0.0,,,0.0,S,Function unknown ,0.0,1.9703886999999998,0.1763554,1.7781126,-8.648397000000001,0.63165563
Rv0037c,Rv0037c,37.0,0.0,cell wall and cell processes,probable membrane protein,0.0,,Possible membrane protein,0.0,GEPR,,0.0,2.117203,0.53772366,1.4894869,-8.542736,0.94979817
Rv0038,Rv0038,38.0,0.0,conserved hypotheticals,conserved hypothetical protein,0.0,,,0.0,K,Transcription ,0.0,2.5650585,-0.585124,0.32623622,10.649633,-0.24674816
Rv0039c,Rv0039c,39.0,0.0,cell wall and cell processes,conserved hypothetical protein,0.0,,Possible membrane protein,0.0,S,Function unknown ,0.0,1.2960336000000001,-0.6775429000000001,0.07626918,12.026514,-6.1998925000000025
Rv0040c,mtc28,40.0,0.0,cell wall and cell processes,conserved hypothetical protein,0.0,,Proline-rich 28 kDa antigen,0.0,S,Function unknown ,0.0,-0.24162778,-0.582942,-0.08699578,10.088023,-1.5689952
Rv0041,leuS,41.0,0.0,information pathways,leucyl-tRNA synthase,0.0,,Leucyl-tRNA synthetase (EC 6.1.1.4),0.0,J,"Translation, ribosomal structure and biogenesis ",0.0,2.9995065,-0.25528303,2.4579935,-8.343351,0.52042145
Rv0042c,Rv0042c,42.0,0.0,regulatory proteins,conserved hypothetical protein,0.0,,"Transcriptional regulator, MarR family",0.0,K,Transcription ,0.0,2.5448554,-1.5168473999999998,-0.49811742,-8.361715,0.97483295
