Rv_ID,is_sdr,Function,groups,redox_enzyme,function_redox_,UK_score_4
Rv0001,0.0,Chromosomal replication initiator protein DnaA,0.0,0.0,,0.0
Rv0002,0.0,DNA polymerase III beta subunit (EC 2.7.7.7),0.0,0.0,,0.0
Rv0003,0.0,DNA recombination and repair protein RecF,0.0,0.0,,0.0
Rv0004,0.0,"Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives",0.0,0.0,,0.0
Rv0005,0.0,DNA gyrase subunit B (EC 5.99.1.3),0.0,0.0,,0.0
Rv0006,0.0,DNA gyrase subunit A (EC 5.99.1.3),0.0,0.0,,0.0
Rv0007,0.0,,0.0,0.0,,0.0
Rv0008c,0.0,,0.0,0.0,,0.0
Rv0009,0.0,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),0.0,0.0,,0.0
Rv0010c,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0011c,0.0,FIG018426: putative septation inhibitor protein,0.0,0.0,,0.0
Rv0012,0.0,FIG215594: Membrane spanning protein,0.0,0.0,,0.0
Rv0013,0.0,"Anthranilate synthase, amidotransferase component (EC 4.1.3.27) @ Para-aminobenzoate synthase, amidotransferase component (EC 6.3.5.8)",0.0,0.0,,0.0
Rv0014c,0.0,Serine/threonine-protein kinase PknB (EC 2.7.11.1),0.0,0.0,,0.0
Rv0015c,0.0,Serine/threonine-protein kinase PknA (EC 2.7.11.1),0.0,0.0,,0.0
Rv0016c,0.0,Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129),0.0,0.0,,0.0
Rv0017c,0.0,Cell division protein FtsW,0.0,0.0,,0.0
Rv0018c,0.0,Serine/threonine phosphatase PPP (EC 3.1.3.16),0.0,0.0,,0.0
Rv0019c,0.0,,0.0,0.0,,0.0
Rv0020c,0.0,,0.0,0.0,,0.0
Rv0021c,0.0,Nitronate monooxygenase,0.0,0.0,,0.0
Rv0022c,0.0,WhiB family transcriptional regulator,0.0,0.0,,0.0
Rv0023,0.0,Transcriptional regulatory protein,0.0,0.0,,0.0
Rv0024,0.0,"NlpC/P60 family, cell wall-associated hydrolase, invasion-associated protein",0.0,0.0,,0.0
Rv0025,0.0,,0.0,0.0,,0.0
Rv0026,0.0,,0.0,0.0,,0.0
Rv0027,0.0,,0.0,0.0,,0.0
Rv0028,0.0,,0.0,0.0,,0.0
Rv0029,0.0,Vegetative cell wall protein gp1 precursor,0.0,0.0,,0.0
Rv0030,0.0,,0.0,0.0,,0.0
Rv0031,0.0,PUTATIVE REMNANT OF A TRANSPOSASE,0.0,0.0,,0.0
Rv0032,0.0,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),0.0,0.0,,0.0
Rv0033,0.0,Acyl carrier protein,0.0,0.0,,0.0
Rv0034,0.0,,0.0,0.0,,0.0
Rv0035,0.0,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),0.0,0.0,,0.0
Rv0036c,0.0,,0.0,0.0,,0.0
Rv0037c,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0038,0.0,,0.0,0.0,,0.0
Rv0039c,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0040c,0.0,Proline-rich 28 kDa antigen,0.0,0.0,,0.0
Rv0041,0.0,Leucyl-tRNA synthetase (EC 6.1.1.4),0.0,0.0,,0.0
Rv0042c,0.0,"Transcriptional regulator, MarR family",0.0,0.0,,0.0
Rv0043c,0.0,"Transcriptional regulator, GntR family",0.0,0.0,,0.0
Rv0044c,0.0,Possible oxidoreductase,0.0,1.0,Function unknown; probably involved in cellular metabolism.,2.0
Rv0045c,0.0,Hydrolase,0.0,0.0,,0.0
Rv0046c,0.0,Inositol-1-phosphate synthase (EC 5.5.1.4),0.0,1.0,Involved in phosphatidylinositol (PI) biosynthetic pathway [catalytic activity: D-glucose 6-phosphate = 1L-myo-inositol 1-phosphate].,1.0
Rv0047c,0.0,"Transcriptional regulator, PadR family",0.0,0.0,,0.0
Rv0048c,0.0,Possible membrane protein,0.0,0.0,,0.0
Rv0049,0.0,,0.0,0.0,,0.0
Rv0050,0.0,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),0.0,0.0,,0.0
Rv0051,0.0,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),0.0,0.0,,0.0
Rv0052,0.0,ThiJ/PfpI family protein,0.0,0.0,,0.0
Rv0053,0.0,SSU ribosomal protein S6p,0.0,0.0,,0.0
Rv0054,0.0,Single-stranded DNA-binding protein,0.0,0.0,,0.0
Rv0055,0.0,"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-dependent",0.0,0.0,,0.0
Rv0056,0.0,LSU ribosomal protein L9p,0.0,0.0,,0.0
Rv0057,0.0,,0.0,0.0,,0.0
Rv0058,0.0,Replicative DNA helicase (EC 3.6.1.-) @ intein-containing,0.0,0.0,,0.0
Rv0059,0.0,,0.0,0.0,,0.0
Rv0060,0.0,"ADP-ribose 1""-phosphate phophatase related protein",0.0,0.0,,0.0
Rv0061,0.0,,0.0,0.0,,0.0
Rv0062,0.0,Endoglucanase A precursor (EC 3.2.1.4),0.0,0.0,,0.0
Rv0063,0.0,Oxidoreductase,0.0,1.0,Function unknown; probably involved in cellular metabolism.,2.0
Rv0064,0.0,INTEGRAL MEMBRANE PROTEIN (Rhomboid family),0.0,0.0,,0.0
Rv0065,0.0,,0.0,0.0,,0.0
Rv0066c,0.0,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42),0.0,1.0,Involved in the KREBS cycle [catalytic activity: isocitrate + NADP+ = 2-oxoglutarate + CO(2) + NADPH].,0.0
Rv0067c,0.0,"Transcriptional regulator, TetR family",0.0,0.0,,0.0
Rv0068,1.0,Oxidoreductase/Short-chain dehydrogenase,1.0,1.0,Function unknown; probably involved in cellular metabolism.,3.0
Rv0069c,0.0,L-serine dehydratase (EC 4.3.1.17),0.0,0.0,,0.0
Rv0070c,0.0,Serine hydroxymethyltransferase (EC 2.1.2.1),0.0,0.0,,0.0
Rv0071,0.0,Retron-type RNA-directed DNA polymerase (EC 2.7.7.49),0.0,0.0,,0.0
Rv0072,0.0,Glutamine-transport transmembrane protein ABC transporter,0.0,0.0,,0.0
Rv0073,0.0,Glutamine-transport ATP-binding protein ABC transporter,0.0,0.0,,0.0
Rv0074,0.0,Xaa-Pro dipeptidase (EC 3.4.13.9),0.0,0.0,,0.0
Rv0075,0.0,"Cystathionine beta-lyase, type II (EC 4.4.1.8)",0.0,0.0,,0.0
Rv0076c,0.0,PROBABLE MEMBRANE PROTEIN,0.0,0.0,,0.0
Rv0077c,0.0,Oxidoreductase,0.0,0.0,,0.0
Rv0078,0.0,"Transcriptional regulator, TetR family",0.0,0.0,,0.0
Rv0078A,0.0,,0.0,0.0,,0.0
Rv0079,0.0,,0.0,0.0,,0.0
Rv0080,0.0,,0.0,1.0,Function unknown,4.0
Rv0081,0.0,"transcriptional regulator, ArsR family",0.0,0.0,,0.0
Rv0082,0.0,Formate hydrogenlyase subunit 11,0.0,1.0,Function unknown; probably involved in cellular metabolism.,2.0
